"현황별(1)",현황별(2),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"112 신고 접수",소계,2687727,2841869,2795088,4705612,4411656,4428878,4384894,4142174,4145371,4128438,3979557,3962219
"112 신고 접수",중요범죄,69493,50588,47278,82506,90503,84707,142294,140250,114032,126421,113399,111099
"112 신고 접수",기타범죄,468406,577845,691719,789306,848369,745649,592401,586558,633630,652502,608845,584769
"112 신고 접수",질서유지,948368,860436,804806,822312,822049,828764,839053,818349,801353,792733,732314,719344
"112 신고 접수",교  통,398633,376410,366833,384198,384713,373777,360505,313122,302624,320356,295141,307097
"112 신고 접수",기타경찰 업무,584241,737581,655535,803270,881491,1077074,1240707,1070430,1074168,1009765,925641,925899
"112 신고 접수",타기관 기타,218586,239009,228917,1824020,1384531,1318907,1209934,1213465,1219564,1226661,1304217,1314011
"범죄현장 평균 도착시간",평균,4분00초,3분07초,3분03초,3분24초,3분25초,4분31초,4분21초,4분23초,4분22초,4분33초,4분35초,4분36초
"범죄현장 평균 도착시간",긴급,3분56초,3분00초,3분00초,3분34초,3분21초,4분16초,4분03초,4분03초,4분11초,4분19초,4분20초,4분22초
"범죄현장 평균 도착시간",비긴급,4분01초,3분08초,3분04초,3분20초,3분26초,4분35초,4분28초,4분32초,4분34초,4분38초,4분39초,4분40초
"중요범죄 현장검거",소계,63370,47039,3233,50085,3291,6284,14831,8336,5910,5686,7397,6543
"중요범죄 현장검거",살인,11,12,5,21,8,56,369,117,74,62,53,55
"중요범죄 현장검거",강도,162,116,24,139,24,69,127,54,39,43,31,36
"중요범죄 현장검거",치기,628,339,12,293,12,16,42,18,12,3,5,2
"중요범죄 현장검거",절도,58220,44599,2452,46210,2246,3644,9687,5072,3230,3106,5284,4573
"중요범죄 현장검거",납치감금,30,2,4,193,21,68,453,113,84,73,63,54
"중요범죄 현장검거",성폭력,4319,1971,736,3229,980,2431,4153,2962,2471,2399,1961,1823
